2s 知道吧袁术称帝了
8s 差点没把我笑死
14s 我看错了袁术此乃我之过啊
16s 我看错了袁术此乃我之过啊
20s 袁术称帝主公有何过错啊
22s 难道主公没有看出袁术的野心
26s 不我没有看出的是
28s 不我没有看出的是
30s 袁术居然有这么思鑫
34s 比我想象的还要愚蠢
36s 这么愚蠢的人
40s 我居然把他看成了豪杰
44s 居然把猪狗看成了龙凤
46s 居然把猪狗看成了龙凤
48s 你们说我错不错啊
52s 错错了错了错了
54s 主公原以为
56s 率先称帝的应该是袁绍
60s 却没想到袁术抢先称了帝
66s 天下诸侯当中
70s 袁绍袁术的实力强过我
72s 袁绍袁术的实力强过我
76s 刘表吕布弱于我
78s 刘表吕布弱于我
82s 公孙瓒等辈都是绣花枕头
88s 刘备孙策之流就不必提了
92s 我早就看出二袁皆有称帝之心
94s 我早就看出二袁皆有称帝之心
98s 抢先称帝的是袁术而不是袁绍
100s 抢先称帝的是袁术而不是袁绍
104s 袁绍要比袁术聪明得多
108s 拥有这么多的兵马城池
110s 却又这么聪明
112s 你们说我是气是不气
114s 你们说我是气是不气
126s 主公只怕是又气又喜吧
128s 在下认为
130s 如今汉廷就安在许昌
132s 主公已是天下第一重臣
134s 现在朝廷外有人篡汉臀位
136s 不更显得主公是汉室栋梁
138s 朝廷正宗了吗
140s 在下建议
142s 主公以汉帝之名发布文
144s 召天下诸侯剿逆扶汉
148s 袁术拥兵三四十万
150s 袁术拥兵三四十万
152s 是我的两倍有余啊
154s 袁术兵马虽多
156s 但其部文恬武嬉喜不堪一击
158s 此其一
160s 其二袁术既已公开篡逆
162s 则天下侧目神人共愤
166s 袁绍等人也不会援助于他
168s 主公一旦发兵则无人敢挡
170s 主公一旦发兵则无人敢挡
172s 其三袁术称帝之后
174s 主公掌中的天子
178s 因为天下有了两个皇帝
180s 如果主公坐视不管
182s 那么第三个第四个皇帝
184s 到那时
186s 主公掌中的天子又有何用呢
190s 更重要的可能是其四
194s 主公一旦发兵剿逆
196s 那是高举皇旗替天行道
202s 各镇诸侯如不奉诏
204s 那就是附逆
206s 各镇诸侯如果奉诏
208s 那就等于承认主公天下之地位
210s 那就等于承认主公天下之地位
212s 比夺几座城池要好得多
214s 比夺几座城池要好得多
216s 说得对那你估计他们奉诏不奉啊
218s 说得对那你估计他们奉诏不奉啊
220s 说得对那你估计他们奉诏不奉啊
226s 不用估计诸侯们肯定个个奉诏
228s 但一个都不会出兵
230s 因为他们都在忙自己那点事
232s 因为他们都在忙自己那点事
240s 听令
244s 着荀或撰写讨贼橄文布告天下
246s 着荀或撰写讨贼橄文布告天下
248s 遵命
250s 着郭嘉撰写天子诏书
252s 着郭嘉撰写天子诏书
254s 诏令袁绍刘表吕布
256s 诏令袁绍刘表吕布
258s 马腾公孙瓒
262s 凡是受过朝廷敕封的诸侯
264s 每一个都给他们发一道诏书
268s 令他们速速派兵助我讨贼
272s 着曹洪许褚为正副先锋
274s 着曹洪许褚为正副先锋
278s 率军两万率先开拔
280s 诺诺
282s 着曹仁掌中军夏侯惊殿后
284s 着曹仁掌中军夏侯惊殿后
286s 着曹仁掌中军夏侯惊殿后
288s 整军十八万待命
292s 明日我即进宫奏告天子
294s 明日我即进宫奏告天子
296s 之后祭天出师
298s 之后祭天出师
366s 爱卿啊朕拜你为护国大将军
368s 爱卿啊朕拜你为护国大将军
370s 持节铖行皇命执天子剑
372s 持节铖行皇命执天子剑
374s 乘天子座驾号令天下王师
376s 乘天子座驾号令天下王师
408s 必胜必胜万岁
410s 必胜必胜万岁
412s 必胜必胜万岁
414s 必胜必胜万岁
416s 必胜必胜万岁
418s 必胜必胜万岁
466s 主公有何忧虑
470s 莫非袁术势大难以取胜嘛
474s 我忧虑的不是袁术而是吕布
476s 我担心
478s 我们跟袁术交战的时候
480s 吕布会再次偷袭我们的后方
488s 换作是我我就会
494s 却抵不上主公的一个手指头
496s 但他有陈宫相助啊
498s 恰恰是陈宫不会让吕布援助袁术
500s 恰恰是陈宫不会让吕布援助袁术
502s 因为那就意味着附逆
504s 将自取其祸
506s 再者上次吕布偷袭衮州
508s 被主公打得大败
510s 他岂敢重蹈覆辙
512s 可我们这回是倾城而出啊
514s 可我们这回是倾城而出啊
518s 吕布并不知道衮州是座空城
520s 吕布并不知道衮州是座空城
522s 他万万不会想到
524s 即算是陈宫想到了
526s 吕布也不敢贸然进攻充州
530s 现在吕布的心思反而会更担心
532s 主公会不会假途进剿袁术
534s 主公会不会假途进剿袁术
536s 半道上趁势拿下徐州
538s 没错我这个人是多疑
542s 成也多疑败也多疑
544s 就在此刻
546s 我心中仍有一道忧虑
548s 你能否为我排解
550s 请主公示下
552s 此次征讨袁术
554s 我们必须战胜
556s 因为一旦败了
558s 天下诸候都能笑歪了嘴
560s 他们会说曹操剿贼不成反被贼剿
562s 他们会说曹操剿贼不成反被贼剿
566s 到那时我们就成了贼了
568s 他们会像饿狼一样扑上来
572s 瓜分我们的地盘
574s 让我们死无葬身之地
580s 那你以为
582s 我们怎样才能战胜袁术呢
586s 集中全部兵力不惜一切代价
588s 直捣袁术的伪都寿春
590s 嗯这不正是我的进军方略吗
592s 嗯这不正是我的进军方略吗
594s 这也是战胜袁术的唯一方略
596s 这也是战胜袁术的唯一方略
598s 请主公不必多疑了
614s 保护主公小心
616s 保护主公保护主公
620s 驾驾驾
622s 保护主公
628s 保护主公
656s 传随军主簿
662s 大军出发前
664s 我曾下过严令1你还记得吗
666s 卑职记得
672s 我等奉诏讨贼为民除害
674s 现在正是麦熟之际
676s 凡过麦田时十不准践踏
678s 如有践踏者当斩
680s 现在我的座驾践踏了这片麦田
682s 现在我的座驾践踏了这片麦田
684s 这卑职
686s 卑职万万不敢降主公之罪啊
690s 自个儿立的军规自个儿违反
692s 何以服众剑来
700s 我令你执此剑砍下我的头颅
702s 我令你执此剑砍下我的头频
706s 主公在下万万不敢
712s 主公春秋有大义
714s 法不加于尊主公不要自我
716s 法不加于尊主公不要自我
718s 春秋胡言乱语
720s 我问你如果法不加于尊
722s 我问你如果法不加于尊
724s 那么立法何用
728s 主公你想过没有
730s 你是奉诏讨贼
732s 你要是轻生了
736s 谁为天下臣民除害
740s 这话说的才算有点道理
744s 我既身负讨贼大任
748s 就暂且饶过我的性命
750s 就暂且饶过我的性命
752s 主公明鉴
756s 今日我割发代首
758s 今日我割发代首
762s 他日立功相赎
782s 将曹操的首级传示三军
796s 主公犯令本该斩首示众
798s 念主公身负剿贼大任
802s 责其立功自赎
804s 现割下主公头发以代其首
806s 现割下主公头发以代其首
808s 传示三军将士
828s 报上将军
830s 报上将军
832s 仲氏皇帝袁术
848s 臣寿春宫中常侍
850s 奉皇旨拜见上将军
852s 奉皇旨拜见上将军
858s 臣此来特为上将军贺喜
860s 臣此来特为上将军贺喜
872s 已经立太子为储君
874s 闻上将军有一女
876s 特遣在下携聘礼前来求亲
878s 特遣在下携聘礼前来求亲
880s 将上将军之女配与我家太子为妃
882s 将上将军之女配与我家太子为妃
884s 两家永结秦晋之好共图大业
886s 两家永结秦晋之好共图大业
900s 我主有言百年之后太子将即位
902s 我主有言百年之后太子将即位
904s 而上将军之女就是仲氏皇后了
906s 而上将军之女就是仲氏皇后了
908s 母仪天下
916s 好我愿意把女儿嫁给袁家太子
918s 好我愿意把女儿嫁给袁家太子
920s 恭喜上将军
940s 公台先生为何阻拦呢
942s 车里是上将军的女儿吧
946s 不过她现在已经是
948s 仲氏皇帝的太子妃了
950s 荒唐如此大事
