3s 在下若要隐瞒真相,
6s 也不敢在牙书里含睡了。
9s 此话何意?
12s 三年前,
14s 丞相派人来在下寒舍,
16s 正逢关渡大捷。
18s 丞相在拜董卓斩吕布,
20s 灭袁树之后,
22s 又消灭了大敌袁绍。
24s 那时的丞相,
28s 辟邪天子,口贤天仙,
30s 雍兵百万,猛将如云。
32s 四方才是,
33s 无不争先恐后投报。
37s 丞相自己也是天下如掌中,
39s 早晚必得。
42s 我若出山,
43s 丞相最多为我一线令。
46s 如此岂不负了我一腔报复。
48s 大胆!
49s 竟敢在我面前待假而辜。
55s 丞相恕罪。
57s 在下只是实话实说。
60s 司马仪不想在他人声音上
62s 讨一杯羹。
63s 只想在他人积极时
65s 送去一斗米。
67s 时下,
68s 丞相兵败赤壁,
70s 危机四伏。
71s 这便又到了用人之际。
73s 狂傲之徒。
75s 据在下所知,
82s 丞相回家,
83s 有不少狂傲之徒,
85s 也有不少奸盗之辈。
87s 但丞相遇下有方,
89s 能够物尽其用,
91s 人尽其才。
92s 不管他是奸盗之辈,
94s 还是狂傲之徒,
95s 都能心甘情愿地
96s 为丞相立下功勋。
99s 由此,
100s 也意见丞相之圣明。
102s 司马仪啊,
106s 司马。
108s 明日跟我回许昌。
114s 恕在下斗胆,
118s 敢问丞相打算为我何职啊?
120s 宪令,
122s 有你这么要官的吗?
124s 问一下心里踏实。
126s 我心中
130s 有一个
131s 极其重要的职务,
133s 酒肆无人。
136s 想请你去救。
138s 请丞相示下。
145s 东府内侍,
147s 也就是
148s 给我儿曹冲做
150s 慕宾师父教他读书。
152s 在我的儿子当中,
154s 冲儿最为出息。
157s 丞相,
158s 公子曹冲年方十岁,
160s 我能教他什么?
163s 他是只有十岁,
165s 可他会长大。
167s 丞相还是为我宪令吧。
171s 你若不从,
173s 我必杀你。
175s 省得让你去投奔孙柳。
187s 赤壁之败,
204s 让我痛定思痛。
206s 统天下的大业,
210s 何止需要十年,
213s 也需要两三代人,
215s 才能完成。
218s 我活着,
219s 凭我的文才武略,
221s 无惧任何敌手。
223s 我死了以后怎么办?
226s 曹氏的子嗣,
228s 需要一个像你这样的
230s 智者副总,
232s 才能在乱世当中
234s 生存,
235s 图霸。
236s 在下遵命。
253s 曹任,
261s 探报回来了没有?
263s 刘备和孙权有什么动静?
266s 探报说,
267s 周瑜现在屯兵于油江,
269s 刘备屯兵于下口。
271s 双方各自
272s 在营中整顿兵马,
274s 暂无大的动静。
275s 一屯兵于下口,
278s 一屯兵于油江,
281s 隔着三百里,
282s 我都能闻出味儿来。
284s 剑锋所向,
286s 直指南郡。
289s 曹任,
290s 在。
291s 孙柳两家,
292s 对京乡九郡
293s 早就垂涎三尺,
295s 早晚会发兵来返。
298s 而玉曲京乡,
300s 必先下南郡。
302s 你这儿,
303s 首当其冲。
305s 孙柳一旦来犯,
306s 末将只能舍命恶战。
308s 这里太危险了。
309s 你还是回许昌吧。
311s 曹任,
312s 南郡虽然兵手,
323s 但是城墙坚实,
325s 易守难攻。
327s 我回许昌后,
329s 也会发兵增援你。
331s 记住,
332s 不管发生什么事,
334s 要坚守南郡,
336s 万不容失。
339s 遵命!
340s 丞相!
341s 丞相!
342s 丞相,
343s 须诚起报。
349s 谁发来的?
351s 寻玉。
352s 丞相,
353s 出了什么事?
379s 寻玉真是啰嗦。
386s 我的寒鸡要生孩子了。
388s 区区小事,
393s 他居然发快报给我。
397s 恭喜丞相!
398s 恭喜丞相!
400s 早不生晚不生,
401s 偏偏这个时候生。
409s 罢了,
410s 我明天一早就回许昌。
