1850s 可是孙乾简雍糜芳等辈
1852s 均无经国济世之才呀
1854s 均无经国济世之才呀
1858s 所以呢将军只有一只羽翼
1860s 所以呢将军只有一只羽翼
1862s 将军缺少的是一位仰观天下
1864s 将军缺少的是一位仰观天下
1868s 胸有韬略的军师啊
1874s 请问先生那这样的军师
1876s 请问先生那这样的军师
1882s 世有卧龙凤雏
1886s 二人得一便可安天下
1888s 卧龙凤雏
1894s 请先生指点
1898s 天机不可泄将军见谅
1900s 天机不可泄将军见谅
1910s 刘备即使得不到卧龙凤雏
1914s 但若能请先生出山相助
1916s 但若能请先生出山相助
1918s 那也是三生有幸啊
1922s 老朽年迈来日无多
1926s 只有与这青山绿水相伴了
1928s 只有与这青山绿水相伴了
1936s 将军莫急
1940s 迟早会有强过老夫十倍者
1942s 相助于你
1946s 只待时运罢了
1948s 时不来运亦不至
1950s 时来万事顺遂呀
1952s 时来万事顺遂呀
1958s 多谢先生教海
1960s 来来来吃酒吃酒
1978s 是元直啊你不是受刘表之约
1980s 是元直啊你不是受刘表之约
1982s 去荆州了吗缘何深夜到此啊
1984s 去荆州了吗缘何深夜到此啊
1986s 在下是去了一趟荆州府
1992s 虽有善心却无大志
1996s 两天不到我已看破其短
1998s 刘表喜善而不能用
2004s 内不能治家政
2008s 我料他早晚自陷其祸
2010s 我怕刘府强留于我
2012s 我便星夜离开了荆州
2018s 抱歉贵客何人哪
2024s 在下大梦初醒
2026s 左将军刘备拜上
2028s 原来是刘皇叔啊
2030s 缘分缘分哪
2038s 敢问阁下
2040s 是卧龙还是凤雏
2042s 区区在下
2044s 既非卧龙也非凤雏
2046s 在下姓徐名庶字元直
2050s 刚才我在里面听先生所言
2052s 一语便能道破刘景升之弊端
2054s 一语便能道破刘景升之弊端
2056s 即使不是卧龙凤雏
2058s 定然远胜卧龙凤雏
2062s 在下与卧龙和凤雏相比
2064s 有如繁星比于皓月
2066s 先生太过谦虚了
2070s 玄德所说不错
2072s 但凡才华超群
2074s 经纶满腹者
2076s 往往偏作谦虚
2098s 我久闻刘皇叔仁义
2100s 那天故意借的卢马一试
2106s 先生说的卢马妨主
2110s 果然一语中的
2112s 当日我便陷马檀溪
2114s 当日我便陷马檀溪
2118s 的卢马妨得动寻常庸主
2124s 顺路访查了新野
2128s 在乡下已有民谣了
2130s 唱得是
2134s 新野牧刘皇叔
2138s 自到此民丰足
2140s 我听后甚是感慨
2142s 因为阁下驻新野刚刚一年
2144s 因为阁下驻新野刚刚一年
2148s 真是仁义之君感召天下
2150s 真是仁义之君感召天下
2154s 阁下无论是荣是衰
2156s 也无论是胜是败
2158s 总会有民心相随
2162s 民谣所唱便是民心所向
2164s 民谣所唱便是民心所向
2166s 而能得到民心者
2168s 距离得天意也就不远了
2170s 距离得天意也就不远了
2178s 玄德君你这是为何呀
2182s 刚才元直所言
2186s 是刘备此生听到的最动心的
2188s 是刘备此生听到的最动心的
2192s 但也犹如一把利剑穿心哪
2196s 痛且快哉
2202s 元直先生
2206s 刘备不才想请你出山
2210s 以便早晚受教
2214s 在下才识学陋
2218s 万万当不起如此大任
2220s 明公另请他人吧
2222s 我刘备二十多年
2224s 我刘备二十多年
2226s 一直盼望能有
2228s 先生这样的高士相助
2230s 可以说朝思喜想啊
2232s 今日能与先生相遇
2236s 有如大旱逢甘霖
2238s 刘备请先生
2240s 相助我一臂之力
2244s 明公之意令我万分感动
2246s 但军师大任
2250s 我确实不敢担当
2260s 徐庶啊
2262s 刘皇叔如此降尊纤贵
2264s 刘皇叔如此降尊纤贵
2266s 屈膝相求已足见其诚了
2268s 屈膝相求已足见其诚了
2272s 否则你那满腹经纶
2274s 怕是要荒废了呀
2280s 才士易得明主难求啊
2282s 才士易得明主难求啊
2284s 刘皇叔虽然时运不济
2288s 可他无疑是一位贤明之主啊
2290s 迟早会一飞冲天成其大业呀
2292s 迟早会一飞冲天成其大业呀
2294s 迟早会一飞冲天成其大业呀
2296s 今日你俩在我寒舍相见
2298s 今日你俩在我寒舍相见
2300s 也是天意使然哪
2302s 也是天意使然哪
2306s 刘备奉先生为师终生不改
2308s 刘备奉先生为师终生不改
2324s 好好
2326s 先生快快请起
2332s 二位相识真是天地焕然呢
2336s 可贺可贺可贺呀
2340s 主公主公
2342s 是子龙
2346s 是我部将赵云寻我来了
2350s 威名满天下呀
2364s 你怎么寻到这里来的
2368s 按着马蹄印才找到这儿的
2372s 难得呀
2374s 这位是水镜先生
2376s GG这位是水镜先生
2380s 这位便是赵云赵子龙
2388s 曹操战败袁绍之后
2390s 当需休兵一年
2392s 以求屯积粮饷军械
2394s 以求屯积粮饷军械
2396s 之后再挥师取天下
2398s 其兵锋所向
