18s 你夫君回来啦,你用茶吧。
42s 如果就要前往下口康堤,你我又得分离书院。
60s 我已料到了,你我的行装我都收拾好了。
68s 小秋,是我要去下口康堤。
72s 你为何说你我的行装都收拾好了,这是何意?
77s 因为我要和你一起前去。
80s 不可,这临提之际我根本无法分身照顾你。
85s 再者,这大营的条件简陋。
88s 我或许还得跟将士们一起参风引路。
91s 你受不得那些苦。
95s 只要我能与夫君在一起,凭其再苦,心里也如饮甘露。
102s 但如果与你天各一方,那才是我苦不堪言的事。
108s 小秋。
109s 将军,你只管专心御敌。
118s 我绝不会牵累你的。
121s 此外,在你安马劳顿之余,我还可以替你弹上一首墨上丧,
128s 消一消你心中的怒气。
131s 夫君,就请准许我,随你同去下口吧。
138s 小秋,说句心里话,有你在我身边,我欢喜无限了。
171s 好吧,我们一起上战场。
176s 遵循大都的军令。
182s 你呀。
183s 二弟。
185s 二弟。
186s 兄长。
188s 你总算出现了,我正要去拜见您。
191s 前几日,二弟忙于公务。
193s 而我也因江东沉降,是和是战,争执不休,只能回避。
198s 现在,刘孙联手已成定局。
202s 你我两家主公结成同盟,我才可以放心走动。
206s 此间难处,请二弟多多见谅。
210s 兄长做得完全对,应当先公务后私情。
214s 如果我处在兄长的境地,也会像兄长这么做的。
218s 请。
219s 请。
220s 看察。
221s 诺。
238s 二弟还要去镇前?
241s 既然孙柳联手抗曹,我岂能不去?
245s 刚接到周瑜大都的军令,让我随他共赴下口。
249s 二弟啊,你我同胞兄弟却各为其主。
261s 这些年来,天南地北,相见极难。
267s 我时常在想啊,如果能和二弟朝夕相处,大概有多好啊。
275s 兄长说得极是啊。
277s 上古大贤,淑琪,薄仪,他们还是异姓兄弟呢,却能常相守不分离。
285s 最后宁愿一同饿死在首阳山下,也不肯离散,真令人感叹。
291s 我主刘玄德乃帝昼之后,天子皇叔,奉旨剿贼扶汉替天行道,定能创下空前伟业。
306s 余弟斗胆叩请兄长转投我刘皇叔。
312s 凭兄长大才,再加上余弟的吉利推荐,兄长定能为大汉创下丰功伟业。
319s 而且你我兄弟也能朝夕相聚,兄长可好啊。
329s 此事在意,在意。
332s 请。
334s 好好好。
335s 在下前来告罪,说服孔明之事,在下尚未开口,即遭当头一罢。
359s 怎么?
360s 在下正要劝说孔明投奔江东,以求兄弟团圆。
365s 不料孔明既因上古高贤、博弈、书齐为例,劝在下转投刘备。
374s 如此一来,在下就不便多说什么了。
379s 那么,先生的意下如何?你打算转投刘备吗?
386s 大都督,主公对在下恩重如山,在下定当生死相报,绝不会备注而去。
394s 先生说得好。
396s 不过由此也可见,令弟孔明也会是这样。
402s 此事辛苦先生了,以后再说吧。
405s 就此别过,先生留步。
414s 出城!
419s 大都督,诸葛亮拜见。
444s 孔明,我正在等你前来,想向你请教御敌之策。
449s 不敢当,在下谨遵大都督军令。
453s 请坐。当初曹操与袁绍决战于关渡,曹军步足十万,袁军有六七十万。
471s 但曹操终能以少胜多,以弱胜强。
475s 敢问关渡之战,胜负的关键何在?
480s 关键在于曹操夜袭巫巢,断了袁军粮草。
488s 袁军遭此大乱,从此便不可收拾。
492s 不错,粮草是大军的命脉。
496s 现在曹军有八十三万,我军只有五万。
499s 要想要以弱胜强,仍然要断其粮草。
503s 我已经探知了曹军的粮草大营就在巨铁山。
507s 想请先生率关羽,张飞,赵子龙等将夜袭巨铁山。
513s 将曹军的粮草一把火烧尽。
516s 我也会助你两千铁鸡。
521s 此战胜,刘玄德可是立下秘草头功。
527s 大都督军令,在下岂敢不遵?
533s 你同意了?
537s 当然,我即刻发信给关张赵,令他们率军前来。
541s 时不我待,就请先生即刻发信吧。
545s 在下祝先生守战成功。
549s 大都督放心,此战必成,必胜。
553s 在下告辞了。
558s 慢走,方才孔明为何行色匆匆而去?
585s 紫禁请坐。
587s 放茶。
588s 诺。
589s 不瞒你啊紫禁,今明两夜孔明必死。
601s 为何?
608s 我已令孔明夜袭曹军的粮草大营聚铁山。
612s 此举,便是借曹操之手杀的。
617s 他竟然浑然不察,心然领命。
622s 紫禁,稍后你去替我看看孔明何时有病。
630s 遵命。
632s 你们按计行事吧。
633s 遵命。
640s 军师,鲁苏来访。
641s 带我相迎。
647s 诺。
648s 孔明啊。
653s 紫禁。
654s 你在忙些什么呀?
656s 我正在点燕兵马,准备夜袭曹操的粮草大营啊。
662s 你觉得夜袭曹操的粮草大营能成功吗?
667s 我是孔明好卧龙,非周公瑾之辈。
672s 哦,这我倒要请教了。
674s 你孔明卧龙如何,他周公瑾又当如何呀?
679s 孔明者步战水战,车战马战,日战夜战。
683s 无一不能,无一不尽其妙。
686s 你听说过江南小儿的歌谣吗?
689s 俘虏罢官饶紫禁,临江水战有舟狼。
695s 听听,连江南小儿都知道周公瑾只会驾船水战,其他战法他不成啊。
705s 这首歌谣倒是蛮有趣的。
714s 什么?
717s 他孔明竟欺我不能入战啊?
719s 放肆!
720s 你告诉他,此番劫曹军粮草大营,不用他去了。
727s 我自率一万大军前去,看我能也不能!
733s 紫禁,小乔,你好像心里有话,欲言又止啊。
826s 是。
829s 有何事,但说无妨。
835s 夫君,你为何要杀祝阁亮呢?
840s 此人才智过人,日后必成我江东大患,不如及早除之以免后患。
853s 可是祝阁亮是来助你破敌的?
857s 我周虞不必他相助,也能破敌。
862s 但你要是杀了祝阁亮,天下人会如何说你?
873s 我并不会直接杀他,而是借曹操之手除之。
877s 小乔,此事你不必多言。
879s 夫君。
880s 我说了,君国大计,你不必多言。
885s 夫君,嫔妾不说祝阁亮了。
896s 嫔妾可否斗胆说一说对大都督的想法?
901s 说吧。
903s 都督与我相处多年,我俩早已是心心相依,彼此相知。
912s 嫔妾认为,大都督不但在我身上多情多义,
917s 还称赛华盖世,国士无双。
921s 不过,金无足弛,玉有威胁。
927s 大都督只有一点让嫔妾严严不安。
932s 好。
937s 我有什么令你不安?
938s 傲。
941s 傲。
943s 督督自是雄才,傲是天下。
947s 你容不得别人强于自己。
951s 你是说我技闲度能?
953s 你要杀祝阁亮,并不完全犹豫他日后会成为江东大患。
960s 而是犹豫他的才华并不在你之下。
966s 放肆!
969s 嫔妾失言,请督督恕罪。
971s 小乔,你还是先回柴桑去吧。
982s 嫔妾知错了,请督督不要撵我走。
990s 军营条件简陋,你又何必陪我在此吃苦呢?
997s 还是先回郡府吧,等我破敌之后再去接你。
1001s 夫君。
1004s 今日就启行,我叫人为你备驾。
1022s 怎么?公警不要我夜袭曹营了,他要自己去?
1027s 这不正是阁下所盼望的吗?
1034s 不错,紫禁啊,恕我直言。
1040s 周公警命我去夜袭曹营的粮草大营,
1043s 其用心就是要借曹营之手杀我。
1048s 二乔之事我不过片言细之,公警为何如此不能相容?
1054s 眼下大敌压紧,生死拒悬于一线。
1057s 孙柳两方既然已经结盟,就必须同心同德,方能克敌制胜。
1063s 试想,如果我提防着你,你猜忌着我,大事休矣。
1069s 凡老紫禁告诉大都督,
1081s 非但我不应该去夜袭曹营的粮草大营,
1084s 他大都督也不该去。
1087s 为何呢?曹贼多谋。
1091s 曹营平生用兵,最爱断人良道。
1094s 自己的粮草大营,岂能没有重兵布防?
1099s 大都督若去曹营,必身陷敌阵。
1102s 非死即伤,去不得,万万去不得。
1106s 此话我定然转告公瑾。
1110s 孔明啊,我也有一问,还望阁下如实相告。
1119s 请讲。
1120s 假如我没有来过你这儿,再加上,
1125s 你的那首儿歌也没有把公瑾记念。
1129s 他非要让你率军偷袭曹军的粮草,
1134s 你还会奉命送死吗?
1137s 我会奉命前去的。
1143s 大都督军令嘛,在下岂敢不遵?
1147s 若敢抗命,在下的麻烦就大了。
1151s 东吴的七禁令五十四盏在那儿搁着。
1155s 我只能奉命前去。
1158s 不过,公瑾不是说要助我两千东吴铁骑吗?
1164s 我到了之后,会远远地在山上站着,
1167s 让你们的两千经纪打先锋。
1170s 估计非死伤过半不可。
1173s 最后呢,我领着几十个残兵侥幸逃生,
1177s 狼狈不堪地回来,再向大都督请罪。
1190s 雕啊,好你个雕钻的孔明啊。
1194s 都是让周公瑾给逼的呗。
1196s 紫禁啊,我要问你一事。
1200s 当我嘲笑周公瑾除了水战,别无所常时,
1206s 你难道一点都没有觉察出我的用意吗?
1209s 此人的见识胜我十倍。
1228s 留他必为江东大患,非杀不可。
1233s 决战迫在眉睫,眼下正当用人之机。
1243s 还盼大都督以大局为重,
1246s 暂时不要杀孔明。
1249s 如果大都督非杀他不可,也不应该在此时,
1254s 而应该在破曹军之后。你说得是。
1258s 禀大都督,曹军战船已抵达三江口,
1272s 在北岸诈营。
1273s 来了多少战船?
1275s 遮天蔽日,一望无际。
1279s 吕蒙,点上十艘快船五百弓弩手,
1282s 我要前去探营。
1283s 孔琴,太危险了。
1285s 江面不是山野,实力开外犹如近在眼前。
1293s 如果大都督的战船一旦现身,
1295s 曹军的水是三十里外就能发现。
1298s 你是三军主帅,断不可轻负前帝呀。
1302s 曹军的水军战船都是新进建造的,
1309s 从未与我军交战过。
1311s 我若不亲眼看一看如何置敌。
1315s 吕蒙,你说,
1316s 曹军战船发现我们之后,
1323s 他们会怎么样?
1325s 会立即派战船追击大都督。
1328s 对了,敌船若不追杀我,
1330s 我又如何能知道他们船速快慢,
1335s 吃水多少,
1337s 如何能够洞察他们水师兵勇的船技怎么样,
1341s 弓弩火器如何?
1343s 只要他们一追,
1345s 这些东西就都出来了。
1349s 末将这就去点兵派船。
1351s 曹军的水师都督是谁?
1359s 都督蔡茂,副都督张云。
1384s 蔡茂曾经是刘表的水师上将,
1392s 张云也曾经做过荆州的水师统领,
1395s 此二人都堪称是水上名将,
