9s 兄长,我寻查时知道你来了成都,便急急赶回来了。
14s 二弟呀,于兄大祸临头了。
19s 何家老佑三十八口,命在待西呀。
23s 大哥误药惊慌,出了什么祸事?
26s 我家主公突然将我全家老佑押入大牢,逼我前来讨药荆州。
33s 并说如果讨药不成,定以通敌罪,将我全家老佑全部斩首啊。
41s 我明白了,是我连累了兄长啊。
49s 二弟救我,快快救我。
53s 兄长啊,你我骨肉同胞,生死相宜。
59s 兄长之祸便是余地之祸。
62s 兄长无慌,我即刻带你去见主公,好回荆州。
68s 好,好。
70s 你家主公还有脸来讨药荆州啊?
88s 他把唐迈子嫁给我兄长,却趁我哥哥不在,偷偷派人劫走了嫂子,还差点劫走了世子。
97s 这笔账怎么跟你算啊?
99s 以德,不可出言不信。
103s 告诉你,我哥哥正要大起三军杀往江南夺了孙雀的江山,以抱着独情之恨啊。
114s 主公如要起三军,就请先杀了我吧。
117s 主公,孙雀拿了我哥哥全家老佑三十八口人,逼他来要荆州。
124s 主公若是不还荆州,孙雀就要以通敌罪将我哥哥全家斩尽杀绝。
129s 如此,诸葛亮也不愿独活了。
138s 岂能受此大难。
139s 孔明,你请起,你说如何便如何,快起。
144s 主公,在下斗胆,请主公履行签约,把荆州还给吴侯。
158s 诸葛亮,孙雀要是杀了你全家,我这就率军杀入江东,也杀了孙雀的全家,替你诸葛亮报仇。
166s 你退下,你快快退下。
168s 这样吧,请回禀吴侯,我们刚刚取了西川,立足未稳,还需要荆州的兵马潜梁来支持。
186s 所以,我们先将长沙、玲玲、贵阳三郡归还吴侯,待我们攻取汉中之地,再将荆乡各郡全部归还。
197s 你看如何?
198s 谢主公恩典,多谢皇叔。
205s 皇叔,有此三郡,我和家老幼当可活命了。
213s 不过,还请皇叔写一道手令,命关将军移交三郡。
220s 好,我即刻便写军令,交由你带往荆州。
225s 谢皇叔。
227s 荆州的每一寸土地都是我军将士从曹军手中夺回来的,我岂肯攻守让人?
240s 刘皇叔军令在此,将军竟敢不遵?
246s 将在外,军令有所不受。
249s 我哥哥好说话,我可不成。
252s 管将军,吴侯拿了在下和家老幼三十八口。
263s 倘若将军不让出三郡,在下和家老幼定当斩首啊。
271s 那是村泉的诡计,岂能瞒我?
275s 将军为何如此无情?
278s 且中鉴在此,他才无情。
282s 我是看在孔明的份上,让你回不了东吴。
289s 送客。
291s 先生,请。
293s 冠平听令。
308s 在。
309s 立刻多派水军,列阵沿江,防止东吴来袭我三人。
316s 另外,若有东吴官员,请来长沙府任。
321s 都给我轰过去。
323s 遵命。
324s 冯大人,你这是怎么了?
336s 都督,下官奉了主公的君旨,到陵陵府任。
342s 刚刚过江,却被关羽守军拦下。
347s 下官与他们平礼,就遭到了毒打。
352s 冯大人,您受惊了。
357s 扶冯大人回府上休养。
359s 诺。
360s 我马上去京州,认识关羽。
371s 都督,我们去不去?
373s 放心,传令各营,准备应战。
377s 遵命。
378s 都督,让我陪你。
381s 见过官将军。
408s 你是谁?
414s 我是东吴水师副都督,吕蒙。
420s 你就是那位吴下阿蒙吧?
428s 你!
430s 官将军说得对。
436s 我为将之初,目不识丁。
439s 确实被称作吴下阿蒙。
441s 到此何事?
444s 与将军会商,较个长沙、陵陵、贵阳三郡的事务。
449s 你不配跟我谈。
453s 还是达道回府吧。
455s 东吴要想跟我谈事,让武素前来见我。
460s 大都督病得很重,已经不能远行了。
464s 武素既然病重,看在昔日的情分上,
475s 我就让他一节子路。
477s 我会在路口江边营后,折子可以了。
482s 小心。
522s 大都督!
525s 报告大都督。
533s 是因关于之谣,谈贵宦长沙、陵陵、贵阳三郡之事。
562s 是来和谈,而非论战。
572s 吕蒙。
573s 大都督有何吩咐?
579s 不在江上的水市,立刻后退二十里。
584s 大都督,如此一来等于把江东的门户向荆州军场开啊。
589s 现在沿江两岸,已是张弓待发之时。
606s 配个驾驶,谁又能心平气和地坐下来呢?
612s 关于欺人太甚。
619s 你记住,我江东从不仗势欺人。
628s 但也绝不可被人欺。
631s 欺人者必自毙,不是吗?
636s 大都督所言甚是。
638s 江华。
640s 在。
642s 传令退兵。
644s 诺。
645s 子明啊,时辰不早了。
667s 你也回去歇息吧。
670s 大都督不必顾虑我。
673s 伺候你睡下以后,我就回去。
675s 这。
684s 下去吧。
700s 大都督,你终日为国事操劳。
703s 身体欠安。
705s 双腿都已经付出了。
707s 腰都弯不下来。
708s 还是我来吧。
709s 就算我弯不得腰,也不能让你来做呀。
712s 你现在毕竟也是江东的副都督了。
715s 万万使不得。
717s 在你面前,我永远只是你的学生。
721s 大都督,你对我恩同在造。
724s 这点小事,算不得是吧?
727s 你我是庖泽,看什么恩不恩他?
730s 东吴水师后出了二十里。
764s 怎么撤了?
766s 我也觉得奇怪呢。
769s 定是鲁肃,命他们撤的。
773s 他这是在向我们使诚。
776s 东吴文物不和,也就是这个鲁肃还是个明白人。
782s 父亲,你为何不披战甲呀?
785s 不用。
786s 今日,我在千枪万刃之中,失时交功之际。
793s 匹马纵横,如入无人之境。
797s 今日,就何惧那江东鼠辈。
801s 父亲。
802s 你在此待命。
803s 我只待周沧一人过江。
806s 这关羽竟敢只身前来。
811s 太小气我东吴了。
826s 君侯辛苦,大都督已在帐中等候多时了。
830s 有劳吕将军相迎。
847s 请。
848s 我见替有亚。
850s 我是不会客气的。
852s 来,换大展。
890s 你们应该祝贺,关将军受封汉寿廷侯啊。
920s 恭贺君侯。
922s 恭贺君侯。
924s 诺西。
931s 诸葛锦从成都带回你家兄长书信。
935s 令你交回长沙等三军。
955s 敢问,云长为何扛命啊?
960s 紫禁兄,今天只喝酒。
964s 这酒要喝,国事也要论。
967s 数年前,我家主公只有去了。
975s 却肯与荆州相见。
982s 那时年纪,刘皇叔兵败来头,没有意图。
987s 可如今,刘皇叔已夺得一州百余县。
991s 其沃土丰田,已远超过我江东。
996s 按理说,你们应该早就兑现诺言。
1000s 归还荆州。
1003s 可是,刘皇叔仍然说他一州未稳。
1007s 只能先还三军。
1010s 对此,我家主公也能够体谅。
1014s 不料,云长却不能够体谅。
1019s 那我来问你。
1021s 东吴为什么总说,荆州是借我的?
1026s 借我?
1028s 荆州是我们从曹操手里夺回的大汉城池。
1033s 官将军,在你们夺得那些大汉城池之前,
1038s 是兵败长颁,九死一生,命悬一线。
1047s 若不是我江东以举国之力,败曹操于赤壁。
1053s 刘皇叔和官将军,现在恐怕早就死。
1060s 曹操说,荆州已夺得一州百余县。
1067s 草草的阶下之丘了,
1072s 又如何能够夺得那些大汉城池?
1076s 天下土地,有能者居之。
1080s 绝非江东囊中物。
1082s 这儿哪有你说话的份?
1091s 下去!
1104s 太过计较了。
1135s 我且敬你一杯。
1137s 将军们备着我射斧,
1143s 你可以依我为之,协我而走。
1146s 我喝醉了。
1153s 荆州之事,改日再谈吧。
1159s 关羽,不要伤了大都督!
1162s 让开。
1176s 散开!
1177s 杭沙三军,给你们。
1179s 就算是这样,我仍然会救你。
1205s 因为只要你的人头落在江东,
1208s 就算独木夺得荆州,
1212s 我们两家还会大战。
1214s 如果要是这样的话,
1216s 孙柳两家早晚会被曹操所逼。
1220s 这乃一事。
1222s 我一直以为江东无英雄。
1244s 今日看来我错了。
1247s 子敬,
1249s 长沙三军,你派人拿回去吧。
1256s 大都督!
1258s 大都督!
1305s 你好些了吗?
1307s 我杀三军了。
1325s 我已派人接受之急。
1384s 你安藏的心。
1395s 命差就好。
1416s 我建议你和江氏过去。
1420s 我会紧紧盯着。
1444s 我会紧紧盯着江东过去。
1450s 曹操趁刘备在西川立足未闻,
1500s 侵衰二十万精锐,攻去汉中。
1503s 张禄已向曹操降了。
1505s 汉中十二军已全部归于曹操。
1509s 下手被齐蜀中,
1538s 让他坐立不安。
1541s 现在曹操和刘备,
1552s 在南边和北边两条战线上,
1556s 只要一点火星蹦出来,
1562s 就会燃起一场大战。
1567s 这是我动物。
1582s 是啊,这确实是个好消息。
1585s 现在孙柳草,
1589s 三族顶立之势已成。
1592s 曹操和刘备,
1597s 在兵马和蜀地伤过我。
1601s 遵循大都督的决策,
1621s 连刘抗曹,
1623s 我错在哪一半?
1631s 连曹抗刘,
1669s 我江东才是永远的胜者。
1675s 大都督神谋远虑,
1680s 我屡谋此生劳尽。
1683s 大都督!
1689s 大都督!
1690s 大都督!
1691s 不会的!
1697s 大都督,你别动!
1726s 我这就去叫医官来!
1728s 不用!
1729s 入场!
1730s 履上殿!
1830s 平身!
1880s 启奏皇上,
1956s 自初平年间起,
1958s 丞相顺天举议,
1961s 当寇除贼,
1963s 灭董卓,
1964s 亡履部,
1966s 陆续收复,
1967s 清纪幽病等州。
1969s 近日,
1970s 更是率雄师收取汉中十二郡,
1974s 张鲁望风而降。
1976s 如今大半天下都已安定,
1979s 皆是丞相功劳。
1981s 丞相制风沐浴三十余年,
1984s 功垂天下,
1986s 名震四海。
1988s 即使周公鲁望,
1990s 也不及丞相万分之一。
1992s 臣为天下臣民请命,
1995s 赐丞相为王,
1997s 加九夕以彰功德。
2001s 臣服意,
2005s 丞相应该尽全为王。
2008s 臣以为,
2012s 丞相非待应该为王,
2014s 还应当免十流成金车,
2017s 驾六马,
2019s 出入用天子来夷。
2022s 禀陛下,
2027s 臣历代皆为汉臣,
2030s 是受国恩。
2032s 臣虽稍有功勋,
2034s 但也是托汉皇组织威也。
2037s 进爵一事,
2039s 绝不敢当。
2041s 列位爱卿,
2045s 可有话奏杀?
2047s 陛下,
2048s 丞相成天道,
2069s 身大义,
2071s 素以匡扶汉史为己任,
2074s 并忠贞之志,
2076s 守千退之杰。
2078s 高祖皇帝
2080s 在创立大汉时,
2083s 便定下御父,
2085s 义姓不可称王。
2091s 如将丞相尽为王,
2095s 则凌驾于群臣之上。
2098s 天子之策,
2101s 必遭臣民非议。
2104s 我等既是汉臣,
2106s 又是丞相部相,
2109s 不应该把丞相
2112s 推到不仁不义之境。
2116s 臣请求陛下,
2119s 纳丞相以忠言,
2122s 不要尽丞相。
2125s 文弱之言差矣!
2127s 陛下,
2131s 天下半壁虽已安定,
2137s 但孙权刘备
2139s 仍各地称雄,
2141s 图谋篡寒。
2142s 朝廷更应该张宪王位,
2145s 方能荡除逆贼。
2147s 如丞相尽位为王,
2150s 上合天道,
2152s 下顺民意。
2154s 陛下,
2155s 不可因俗守旧而足,
2157s 似海半民之望。
2160s 朕也有意
2170s 为丞相尽决,
2172s 但怎来丞相自个儿不愿意?
2175s 陛下,
2177s 丞相尽位为王,
2179s 但凭天意,
2181s 岂能因丞相慈让而罢休?
2184s 陛下,
2185s 丞相忠义千功,
2192s 陛下更应该为丞相尽决。
2195s 陛下,
2196s 丞相尽位为王,
2198s 但凭天意,
2220s 岂能因丞相慈让而罢休?
2224s 陛下,
2226s 丞相尽位为王,
2230s 但凭天意,
2232s 岂能因丞相慈让而罢休?
2234s 陛下,
2236s 丞相尽位为王,
2238s 但凭天意,
2242s 陛下更应该为丞相尽决。
2244s 陛下,
2259s 丞相尽位为王,
2268s 但凭天意,
2270s 请你立刻拟写圣旨,
2272s 昭告四海。
2274s 朕,
2283s 尽丞相曹操为
2287s 位王,
2290s 免石流,
2292s 乘金银车,
2294s 驾六马,
2296s 出入街用,
2298s 天子车伏鸾翼。
2301s 臣遵旨!
2303s 谢陛下!
2305s 臣,
2328s 谢天恩!
2330s 公子,
2349s 好了好了,
2350s 大事已毕,
2352s 我副相当上位王了!
2354s 好,
2355s 恭敬公子。
2356s 天色不早,
2359s 快快驱车前往张水,
2361s 众门友已在那里等候,
2363s 要为位王赴师庆贺。
2365s 公子,
2366s 请示公子,
2367s 车行哪座宫门?
2369s 这有何区别?
2371s 如果绕到东门的话,
2373s 少说要半个时辰,
2375s 如果直出白马门,
2376s 片刻即可出宫。
2377s 你就走白马门。
2378s 公子,
2379s 皇宫禁令,
2380s 除天子车驾外,
2382s 白马门不准任何车驾通行。
2385s 那是对百官而言,
2387s 你只管走白马门。
2389s 遵命。
2390s 开门!
2399s 朝廷禁令,
2400s 白马门不准过车。
2402s 看清楚我是谁吗?
2404s 少废话!
2405s 开门!
2406s 公子有令,
2407s 快快开门!
2410s 开门!
2411s 诺!
2412s 车上是谁啊?
2424s 竟敢擅闯白马门。
2427s 徐大人,
2429s 我有急事,
2438s 请你让开。
2440s 天大的事,
2442s 也不能坏朝廷的规矩。
2445s 我奉魏王之命,
2446s 前往张河赴会,
2448s 请你快快让道。
2450s 魏王之命,
2452s 朝廷的规矩,
2454s 是天子所立。
2456s 你要是想过的话,
2458s 就从我身上,
2460s 念过去吧。
2461s 徐大人,
2462s 你不要逼我。
2466s 父亲不守规矩,
2468s 儿子也不守规矩,
2471s 这天下成何体统?
2474s 徐大人,
2475s 那你想让我怎么办?
2480s 请公子给我退回去。
