0s 正好,你们几个都在。
5s 今日我顺便出个题目考考你们。
8s 请父亲试一下。
10s 眼下,刺客肯定还在许昌城中。
14s 你们说说,我该如何应对这些刺客。
19s 而认为应该马上封锁城门。
22s 挨家挨户去搜查,而亲待五百甲士。
25s 天黑之前,必定把刺客碎尸万段。
29s 此外,还应该发布告示,
31s 让他们赔偿千金,动员全城百姓一起拿贼。
35s 这样才能使贼子们无安身之处。
40s 三弟,四弟,说得是。
44s 我建议大开城门,放刺客逃生。
53s 那你说说,为何要放刺客逃生啊?
58s 刺客们已经行刺失败,杀了他们也没用。
61s 反可以让他们把父亲回城的消息带给马腾。
64s 让他反战新京。
69s 说得好,说得太好。
74s 你们几个,怎么就不能如此想问题了?
81s 光知道把人碎尸万段,又有何用?
85s 记住,不要愤怒。
88s 愤怒,会降低你的智慧。
91s 也不要恨自个儿的敌人。
94s 因为仇恨,会使你丧失判断力。
99s 与其恨自个儿的敌人,不如拿它来为我所用。
106s 儿臣明白。
111s 明白。
112s 丞相,丞相,丞相。
158s 你先别说,让我猜猜。
161s 好,请丞相猜。
164s 马腾和韩遂撤兵了吧?
166s 丞相为何以猜忌众?正是。
169s 这有何难?马腾不过是一介莽夫。
176s 他看我赤壁战败,想在我回独之前偷袭许昌。
181s 所以才星夜兴兵南下。
184s 他没有料到我已经搬势回城了,所以也就无计可施了。
190s 到今日,他带着十万大军出来也有三十天了吧?
196s 是的。
197s 他能带多少粮草?
199s 再不回西凉,他吃什么?
203s 丞相之事,在下无体头顶。
207s 从赤壁以来,我一直心神不宁。
222s 这下好了。
224s 我们都可以喊口气了。
227s 公子赵王,都退下。
240s 先生认识司马姨吗?
247s 八岁前,我与她比邻而居,天天斗计宰狗。
260s 十八岁前,我与她同门,施从南山先生。
265s 学习古今兵法,阴阳异理。
268s 二十八岁,我投效于丞相。
270s 他则云游四海,先宗不定。
273s 父亲把她招入东府了?
276s 重达入阁了?
280s 真是可喜可贺,可惊可态。
283s 先生,我都知道了。
286s 我与司马姨相比,有如凡星笔号月。
290s 她的才能胜我十倍。
292s 其智,其识,其狠,以及奸人老辣,
296s 都不在孔明周瑜之下。
299s 我与司马姨相比,
301s 有如凡星笔号月。
306s 她的才能胜我十倍。
308s 其智,其识,其狠,以及奸人老辣,
312s 都不在孔明周瑜之下。
314s 她的才能胜我十倍。
316s 她的才能胜我十倍。
318s 她的才能胜我十倍。
320s 她的才能胜我十倍。
323s bidding
326s 在何地?
333s 中âte
339s 中????
340s 中????
341s 中 مش
342s 中。。。
343s 其兄弟子嗣也堪称一时之俊杰
347s 我听说他有两个小儿
349s 各个聪明无比
351s 尤其长子司马昭
352s 三岁时就能把一步春秋倒背如流
356s 公子
357s 你一定好好笼入此人
359s 最好把他收入账下
361s 得司马仪一人
363s 等于得到北方士族的支持
366s 父亲
367s 你已经让他做了曹冲的师父了
376s 让司马仪辅佐少公子
380s 是啊
384s 是啊
386s 先生知道这意味着什么吗
388s 这意味着
389s 丞相要立少公子为世子
395s 承继大业
397s 岂止如此
401s 父亲如果立了
403s 冲帝为储
404s 继承大业
406s 那我
407s 不就成了冲帝的威胁了吗
411s 父亲临终前
415s 为确保冲帝太平
417s 会留着我这个兄长吗
422s 公子所虑极是
426s 求先生救我
431s 求先生救我
433s 如何救
434s 请公子吩咐
436s 先生
437s 您与司马仪有宗教之交
439s 探探考验
443s 看看父亲给他交代了什么
445s 他又如何去做
447s 之后
448s 我再
450s 相机行事
451s 陈群
498s 掌门兄
500s 仲达
501s 入阁多日
502s 竟不来看看于兄
505s 无奈
506s 我只好登门拜你了
509s 多有得罪
510s 多有得罪
511s 我听说贤兄
514s 在青州蜀崖
515s 担当刺史大任
517s 何时回相府来了
519s 旧疾又犯
523s 只好回徐昌养病
526s 仲达
528s 咱们云梦山一别
530s 有十年没见了吧
532s 整整十年
533s 好啊
538s 有贤兄在这
539s 在下就不寂寞了
542s 贤兄快坐
544s 好
545s 请
546s 看察
547s 诺
552s 你不是一直青高碧视吗
565s 为何出山为官呢
567s 丞相制下眼令
574s 要么扶持台岸
576s 要么扛我头颅
578s 你知道的
580s 我一怕疼
581s 二怕苦
582s 三还怕死
583s 无奈
584s 只好应命了
587s 好
588s 好
589s 得司马一为辅
591s 丞相大业必成
593s 仲达
594s 你我故交
596s 说话就不绕弯了
598s 听说你一来
600s 丞相就托于大任
602s 对吗
604s 贤兄是不是
605s 有话要问
606s 请指教
609s 你看
610s 十年不见
612s 你一发的狡猾
614s 我还没有问你
616s 你倒先防上我了
619s 断断不干
622s 贤兄如有话说
624s 便请直寻
625s 丞相
627s 叫你当曹冲的师父了
635s 是
636s 那丞相的心思
641s 是想让曹冲当世子了
645s 明白了
646s 少公子得天倦哪
660s 说实的
665s 诸公子中
667s 就属他聪明
670s 前途无量啊
672s 不对
673s 怎么
675s 曹冲不是聪明的公子
682s 真正聪明的公子
684s 应该让人
685s 看不出他的聪明
687s 那依你说
689s 他不是聪明的公子
693s 你说
695s 谁比他更聪明
697s 有一个
699s 外表憨厚
700s 内心坚忍的公子
702s 就比少公子聪明
711s 比方说
712s 贤兄今日来访
714s 八成就是他的意思
720s 十年不见
726s 你叫我是越来越害怕了
729s 贤兄用茶
737s 待会儿
739s 我们一起
740s 鼓乐为乐
741s 可否
743s 好
745s 好
747s 请问
748s 足下琴艺可有进一
751s 正要贤兄教诲
755s 如论知兵知人
758s 明察秋毫
759s 我不如你
761s 若论琴艺
763s 你比我差远了
768s 丞相
811s 说 直说
813s 恕卑职无能
815s 少公子
816s 已是命悬一线了
820s 你就一点办法
821s 都没有了吗
822s 丞相恕罪
824s 卑职不敢欺瞒丞相
827s 少公子
828s 身中剧毒
829s 且剧毒已攻入心脉
832s 即便是丞相
833s 杀了卑职
835s 卑职也依然是
836s 无能为力
839s 滚出去
841s 谢丞相
842s 你看这个
870s 这是毒树
872s 想不到这天底下
880s 还真有毒树
883s 吓人来报
884s 前院有只猫
885s 也是中毒死的
887s 在猫的腹里
888s 也发现了一只毒树
891s 天下万物
892s 无奇不有
894s 可他为何偏偏
895s 就要冲儿
896s 为何
897s 丞相
903s 在下有句话
904s 如果说错了
906s 请丞相
907s 切勿犟罪
909s 说
910s 说
924s 我看了少公子
928s 腿上的毒痕
930s 不是毒树咬的
933s 是蛇咬的
935s 何以见得
937s 我幼年时
939s 住在竹林之下
942s 村里常有人
944s 被蛇咬伤
946s 像这样的毒痕
947s 我一眼便能认出来
949s 那册页上
950s 为何会有鼠式痕迹
952s 假象
953s 假象
954s 那真相是什么
959s 毒蛇咬的
961s 相府地势甚高
963s 冲儿的屋子
964s 又十分干燥
965s 怎么会有蛇出没
967s 蛇自己不会进
970s 可要是人呢
972s 弦月
973s 你估计
989s 你是不知道
995s 还是不敢说
996s 丞相在下
998s 在下真的不敢
1000s 妄自猜测
1001s 今天我偏要你猜
1003s 我要你说
1004s 我要你说出心中念头
1005s 说什么都无罪
1006s 你要不说我就杀你
1008s 丞相请不要逼我
1023s 说
1032s 谁是杀人凶手
1038s 首先判断那人之死
1040s 对谁最有利
1041s 说得好
1042s 接着说
1043s 丞相请不要逼我
1045s 努力曹皮为世子
1071s 丞相不好了
1088s 怎么了
1090s 皮公子
1091s 皮公子也被毒蛇咬了
1092s 人是不行
1093s 危在旦夕
1094s 谁
1100s 皮公子
1102s 还没事
1174s 三弟四弟
1180s 他们没事吧
1182s 他们也很好
1183s 都太平
1184s 曹芝和曹章呢
1231s 丞相
1232s 小的早就去过了
1233s 三公子外出涉猎
1234s 不在府上
1235s 四公子昨夜和文友们
1236s 赴食饮酒
1237s 此事大罪不喜
1238s 畜生
1239s 报来
1240s 诺
1241s 报
1243s 毕丞相
1244s 少公子他
1245s 初二怎么了
1246s 毕丞相
1247s 少公子他
1248s 他快不行了
1250s 丞相
1311s 二公子
1312s 二公子他不行了
1313s 什么
1317s 气息时有时无
1318s 医官说
1320s 只怕熬不过今夜了
1329s 丞相
1330s 丞相
1331s 丞相慢点
1332s 丞相
1333s 丞相
1334s 慢点
1335s 丞相慢点
1374s 二公子
1375s 似有复苏之想
1379s 说
1380s 脉象健顺
1381s 气息稍旺
1383s 丞相
1384s 二公子八成是有救了
1387s 真的
1388s 当然有救
1389s 在下恭喜丞相了
1391s 少公子死了
1424s 二公子康复了
1428s 仲大
1430s 你说
1432s 是谁谋害了少公子
1435s 为何要说谋害
1441s 人各有命
1443s 生死在天
1445s 相府流言
1450s 说少公子是被人谋害的
1453s 贤兄可知
1456s 流言也能杀人哪
1459s 杀起人来
1460s 比刀锋还快
1463s 不错
1465s 但是流言不止
1467s 岂不还会再杀人
1470s 这话贤兄说得对
1479s 依你说
1481s 是谁谋害了少公子
1494s 依我看
1495s 少公子自己害了自己
1498s 此话怎么说
1508s 少公子的聪明
1509s 超过了所有兄长
1512s 得到的恩诚
1513s 也超过了所有兄长
1515s 所以他早晚必死
1517s 儿不知冲弟被鼠咬了
1546s 儿有罪
1548s 儿有罪
1549s 儿头晚
1552s 饮酒过了
1554s 齐庆父亲降罪
1556s 酒作乐
1591s 涉猎饮食
1596s 畜生
1600s 畜生
1603s 听着
1604s 你们要为冲儿
1609s 守令三日
1612s 好好想想自个儿的罪过
1614s 冲弟
1632s 冲弟
1633s 你怎么就走了呢
1655s 为什么
1659s 为什么不让哥替你去死
1677s 皮儿
1678s 爷爷身体不好
1681s 回去歇着吧
1682s 我要陪了三弟
1697s 四弟
1699s 给冲弟守令
1701s 我原本想把冲儿托付给你
1757s 可惜天不遂人愿哪
1761s 冲儿三天是福
1767s 少公子不幸
1768s 就是在下不幸
1769s 冲儿虽然不在了
1772s 但我还是想用你
1775s 这样吧
1777s 你再从其他公子里选一个
1781s 禀丞相
1786s 在下虽然和少公子
1788s 只相处了三天
1790s 但却深深为他的睿智
1792s 所折服
1793s 在下想在少公子灵派
1797s 扎入而居
1798s 为他守令三年
1800s 你只做了他三天师父
1807s 却要为他守令三年
1811s 未免少公子泉下孤寂
1815s 在下愿陪他三年
1818s 每月初一十五
1819s 为他焚化些书籍册业
1821s 将写十文一礼
1823s 我也算是少公子
1825s 羊间牧兵吧
1826s 请丞相恩准我们
1830s 师生间三年缘分
1832s 好
1833s 多谢了
1836s 那我还是要任命你为主部
1845s 以后
1847s 以后
1848s 可以到府上来议事
1852s 三年后
1853s 三年后
1861s 再说吧
1862s 几经天了
1895s 四更刚过
1897s 冲儿死了
1904s 霹儿侥幸生还
1906s 现在看起来
1911s 谁最想让他们死
1916s 他们死了对谁最有利
1919s 谁
1921s 最有可能
1922s 做世子
1923s 继承我的大位
1925s 曹植
1929s 还是曹长
1930s 你怎么不说话呀
1936s 在下已经错过一次
1939s 不敢再妄自猜测了
1942s 都布置好了吗
1944s 按蒋丞相的吩咐
1947s 我一切都布置好了
1949s 说我听听
1954s 每个公子的住宅
1955s 都发了扑手的梦
1957s 屋子都安排了耳目
1960s 巷府内外
1961s 每个时辰
1963s 都有人暗查
1965s 每个角落里
1967s 都有人监视
1969s 灵堂呢
1970s 没有灵堂
1975s 没有安排耳目
1977s 那人容易
1982s 露出刑记
1984s 三天三夜下来
1989s 无罪者肯定困得只打瞌睡
1994s 有罪的人
1996s 做贼的人
2000s 对心虚
2002s 定然是如坐阵阵
2006s 时辰差不多了
2007s 你去看看吧
2012s 丞相
2014s 我还是不去的好
2015s 丞相
2023s 在下不想知道这人是谁
2026s 永远不想知道
2027s 谢丞相
2046s 你听仔细了
2167s 我现在说的话
2168s 你要终生牢记
2170s 永远遵从
2178s 冲儿
2184s 冲儿是被毒鼠所伤
2188s 曹辟也是
2190s 相府里没有任何奸贼
2194s 我的所有的儿子
2197s 个个都相亲相爱
2200s 亲密无间
2202s 还有
2215s 我要你忘掉此事
2220s 永远也不准再提起
2222s 日后
2225s 如果有人敢妄自猜测
2228s 不管他是谁
2230s 你都可以先斩后奏
2232s 遵命
2233s 真的要在这里
2238s 受令三年吗
2320s 那三年之后
2325s 先生
2326s 愿意做我的师父吗
2329s 这事问我无用
2331s 公子应该请示丞相
2334s 我问过了
2336s 丞相
2338s 准了
2339s 仲达
2341s 如果我没猜错
2378s 这是你为曹冲的
2379s 这是你为曹冲写的祭诗吧
2384s 如果我猜得不错
2387s 熊台是奉丞相旨意
2389s 来打探我吧
2390s 不错
2394s 丞相一直不相信
2397s 你会为曹冲守令三年
2401s 丞相错了
2402s 我相信你会的
2415s 仲达
2416s 你知道我为什么相信你吗
2419s 请辞教
2420s 丞相最钟爱的公子死了
2426s 世子大位
2427s 亦是难以决定
2429s 你虽聪明
2432s 但此刻也不知该做谁的师父
2436s 所以你想花三年的时间
2437s 观察与等待
2439s 于兄钦佩你的奸人
